	id_sent	head	dep	SCORE	type	sent	Title	Author	Created	Sphere	Type	Topic	Publication	Publ_year	Medium
295	45	выступления	торонто	0	nmod	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
297	45	приветствовал	он	0	nsubj	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
298	45	приветствовал	бы	0	aux	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
300	45	приветствовал	установление	0	obj	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
301	45	отношений	партнерских	0	amod	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
302	45	установление	отношений	1	nmod	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
303	45	производителем	с	0	case	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
304	45	отношений	производителем	0	nmod	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
305	45	оборудования	телекоммуникационного	0	amod	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
306	45	производителем	оборудования	0	nmod	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
308	45	корпорацией	nortel	0	appos	Глава компании Cisco Systems Джон Чамберс заявил во время организованного компанией Speakers Forum выступления в Торонто,  что он бы приветствовал установление партнерских отношений с производителем телекоммуникационного оборудования корпорацией Nortel Networks.	Только сотрудничество // «Computerworld», 2004		2004	нехудожественная | публицистика	заметка	производство	«Computerworld»	2004	журнал
310	46	заместителя	министра	0	nmod	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
311	46	дел	иностранных	2	amod	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
312	46	министра	дел	1	nmod	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
317	46	вопрос	на	0	case	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
318	46	вопрос	агентства	0	nmod	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
319	46	агентства	интерфакс	0	appos	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
321	46	в	связи	3	fixed	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
324	46	ветированием	россией	0	nmod	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
325	46	совете	в	0	case	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
327	46	совете	безопасности	1	nmod	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
330	46	проекта	резолюции	0	nmod	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
331	46	кипру	по	0	case	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
332	46	резолюции	кипру	0	nmod	Ответ заместителя министра иностранных дел России Ю. В. Федотова на вопрос агентства Интерфакс в связи с ветированием Россией в Совете Безопасности ОоН проекта резолюции по Кипру									
333	47	инженеров-авиаторов	будущих	1	amod	Будущих инженеров-авиаторов не пустили в аудитории									
334	47	пустили	инженеров-авиаторов	0	obj	Будущих инженеров-авиаторов не пустили в аудитории									
335	47	пустили	не	0	advmod	Будущих инженеров-авиаторов не пустили в аудитории									
336	47	аудитории	в	0	case	Будущих инженеров-авиаторов не пустили в аудитории									
337	47	пустили	аудитории	0	obl	Будущих инженеров-авиаторов не пустили в аудитории									
338	48	отмечается	пасха	1	nsubj:pass	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
339	48	недели	на	0	case	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
340	48	недели	одну-две	0	amod	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
341	48	раньше	недели	0	obl	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
342	48	отмечается	раньше	0	advmod	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
343	48	раньше	православной	0	obl	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
344	48	является	и	0	cc	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
346	48	является	одним	0	xcomp	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
347	48	праздников	из	0	case	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
348	48	больших	самых	0	amod	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
349	48	праздников	больших	0	amod	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
350	48	одним	праздников	0	nmod	Пасха отмечается на одну-две недели раньше православной и является одним из самых больших праздников.	Это интересно // «Даша», 2004		2004	нехудожественная | публицистика	заметка	путешествия	«Даша»	2004	журнал
351	50	дали	организаторы	0	nsubj	"Организаторы новорождённого фестиваля дали ему имя полуострова ""Я -- МАЛ""."	Северная сказка // «Экран и сцена», 2004.05.06		2004	нехудожественная | публицистика	статья	искусство и культура	«Экран и сцена»	2004.05.06	газета
352	50	фестиваля	новорождённого	1	amod	"Организаторы новорождённого фестиваля дали ему имя полуострова ""Я -- МАЛ""."	Северная сказка // «Экран и сцена», 2004.05.06		2004	нехудожественная | публицистика	статья	искусство и культура	«Экран и сцена»	2004.05.06	газета
353	50	дали	ему	0	iobj	"Организаторы новорождённого фестиваля дали ему имя полуострова ""Я -- МАЛ""."	Северная сказка // «Экран и сцена», 2004.05.06		2004	нехудожественная | публицистика	статья	искусство и культура	«Экран и сцена»	2004.05.06	газета
354	50	дали	имя	1	obj	"Организаторы новорождённого фестиваля дали ему имя полуострова ""Я -- МАЛ""."	Северная сказка // «Экран и сцена», 2004.05.06		2004	нехудожественная | публицистика	статья	искусство и культура	«Экран и сцена»	2004.05.06	газета
355	50	имя	полуострова	1	nmod	"Организаторы новорождённого фестиваля дали ему имя полуострова ""Я -- МАЛ""."	Северная сказка // «Экран и сцена», 2004.05.06		2004	нехудожественная | публицистика	статья	искусство и культура	«Экран и сцена»	2004.05.06	газета
356	50	полуострова	я	0	appos	"Организаторы новорождённого фестиваля дали ему имя полуострова ""Я -- МАЛ""."	Северная сказка // «Экран и сцена», 2004.05.06		2004	нехудожественная | публицистика	статья	искусство и культура	«Экран и сцена»	2004.05.06	газета
357	50	я	мал	0	appos	"Организаторы новорождённого фестиваля дали ему имя полуострова ""Я -- МАЛ""."	Северная сказка // «Экран и сцена», 2004.05.06		2004	нехудожественная | публицистика	статья	искусство и культура	«Экран и сцена»	2004.05.06	газета
358	51	секреты	визажа	0	nmod	Открываем секреты визажа:  идеальный -- значит стойкий!									
361	52	карусель	костромская	0	amod	"Костромская ""Карусель"" "	Костромская «Карусель» // «Народное творчество», 2003		2003	нехудожественная | публицистика	статья	искусство и культура	«Народное творчество»	2003	журнал
362	53	картинке	как	3	case	Как на картинке									
363	53	картинке	на	3	case	Как на картинке									
364	55	элементах	в	0	case	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
365	55	элементах	метаноловых	0	amod	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
366	55	смешивается	элементах	0	obl	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
367	55	элементах	питания	1	nmod	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
368	55	основе	на	3	case	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
370	55	основе	технологии	1	nmod	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
371	55	технологии	mobion	0	appos	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
372	55	смешивается	спирт	0	nsubj	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
373	55	смешивается	предварительно	0	advmod	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
374	55	смешивается	не	0	advmod	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
376	55	смешивается	водой	0	obl	В метаноловых элементах питания на основе технологии Mobion спирт предварительно не смешивается с водой									
379	57	раз	семь	3	amod	СЕМЬ РАЗ ОТРеЖЬ -- ОДиН ЗАПЛАТи.	Семь раз отрежь -- один заплати // «Рекламный мир», 2003.04.28		2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Рекламный мир»	2003.04.28	журнал
380	57	отрежь	раз	3	nsubj	СЕМЬ РАЗ ОТРеЖЬ -- ОДиН ЗАПЛАТи.	Семь раз отрежь -- один заплати // «Рекламный мир», 2003.04.28		2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Рекламный мир»	2003.04.28	журнал
381	57	раз	отрежь	3	nmod	СЕМЬ РАЗ ОТРеЖЬ -- ОДиН ЗАПЛАТи.	Семь раз отрежь -- один заплати // «Рекламный мир», 2003.04.28		2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Рекламный мир»	2003.04.28	журнал
382	57	заплати	один	1	amod	СЕМЬ РАЗ ОТРеЖЬ -- ОДиН ЗАПЛАТи.	Семь раз отрежь -- один заплати // «Рекламный мир», 2003.04.28		2003	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Рекламный мир»	2003.04.28	журнал
384	59	америки	против	0	case	Против Америки с любовью.	Игорь Порошин. Против Америки с любовью. Ирина Слуцкая идет второй после короткой программы // «Известия», 2002.02.20	Игорь Порошин	2002	нехудожественная | публицистика	статья	спорт	«Известия»	2002.02.20	газета
385	59	любовью	с	1	case	Против Америки с любовью.	Игорь Порошин. Против Америки с любовью. Ирина Слуцкая идет второй после короткой программы // «Известия», 2002.02.20	Игорь Порошин	2002	нехудожественная | публицистика	статья	спорт	«Известия»	2002.02.20	газета
386	59	америки	любовью	0	nmod	Против Америки с любовью.	Игорь Порошин. Против Америки с любовью. Ирина Слуцкая идет второй после короткой программы // «Известия», 2002.02.20	Игорь Порошин	2002	нехудожественная | публицистика	статья	спорт	«Известия»	2002.02.20	газета
387	60	требовала	душа	2	nsubj	Душа требовала красоты,  и Николай Фомин украсил свой дом резьбой.	Красна изба углами // «Народное творчество», 2003		2003	нехудожественная | публицистика	заметка	частная жизнь	«Народное творчество»	2003	журнал
388	60	требовала	красоты	0	obj	Душа требовала красоты,  и Николай Фомин украсил свой дом резьбой.	Красна изба углами // «Народное творчество», 2003		2003	нехудожественная | публицистика	заметка	частная жизнь	«Народное творчество»	2003	журнал
389	60	украсил	и	0	cc	Душа требовала красоты,  и Николай Фомин украсил свой дом резьбой.	Красна изба углами // «Народное творчество», 2003		2003	нехудожественная | публицистика	заметка	частная жизнь	«Народное творчество»	2003	журнал
390	60	украсил	николай	0	nsubj	Душа требовала красоты,  и Николай Фомин украсил свой дом резьбой.	Красна изба углами // «Народное творчество», 2003		2003	нехудожественная | публицистика	заметка	частная жизнь	«Народное творчество»	2003	журнал
392	60	дом	свой	0	det	Душа требовала красоты,  и Николай Фомин украсил свой дом резьбой.	Красна изба углами // «Народное творчество», 2003		2003	нехудожественная | публицистика	заметка	частная жизнь	«Народное творчество»	2003	журнал
393	60	украсил	дом	0	obj	Душа требовала красоты,  и Николай Фомин украсил свой дом резьбой.	Красна изба углами // «Народное творчество», 2003		2003	нехудожественная | публицистика	заметка	частная жизнь	«Народное творчество»	2003	журнал
394	60	украсил	резьбой	0	iobj	Душа требовала красоты,  и Николай Фомин украсил свой дом резьбой.	Красна изба углами // «Народное творчество», 2003		2003	нехудожественная | публицистика	заметка	частная жизнь	«Народное творчество»	2003	журнал
395	61	призывает	genesys	0	nsubj	Genesys призывает доверить обслуживание невыгодных клиентов автоматическим телефонным центрам									
396	61	призывает	доверить	0	xcomp	Genesys призывает доверить обслуживание невыгодных клиентов автоматическим телефонным центрам									
397	61	доверить	обслуживание	0	obj	Genesys призывает доверить обслуживание невыгодных клиентов автоматическим телефонным центрам									
398	61	клиентов	невыгодных	1	amod	Genesys призывает доверить обслуживание невыгодных клиентов автоматическим телефонным центрам									
399	61	обслуживание	клиентов	0	nmod	Genesys призывает доверить обслуживание невыгодных клиентов автоматическим телефонным центрам									
400	61	центрам	автоматическим	0	amod	Genesys призывает доверить обслуживание невыгодных клиентов автоматическим телефонным центрам									
401	61	центрам	телефонным	0	amod	Genesys призывает доверить обслуживание невыгодных клиентов автоматическим телефонным центрам									
403	62	новгороде	в	0	case	В Нижнем Новгороде есть улица с удивительным названием...	Ночной ковбой с улицы Робеспьера // «Криминальная хроника», 2003.06.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.24	газета
404	62	новгороде	нижнем	3	amod	В Нижнем Новгороде есть улица с удивительным названием...	Ночной ковбой с улицы Робеспьера // «Криминальная хроника», 2003.06.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.24	газета
405	62	есть	новгороде	0	obl	В Нижнем Новгороде есть улица с удивительным названием...	Ночной ковбой с улицы Робеспьера // «Криминальная хроника», 2003.06.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.24	газета
406	62	есть	улица	0	nsubj	В Нижнем Новгороде есть улица с удивительным названием...	Ночной ковбой с улицы Робеспьера // «Криминальная хроника», 2003.06.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.24	газета
407	62	названием	с	1	case	В Нижнем Новгороде есть улица с удивительным названием...	Ночной ковбой с улицы Робеспьера // «Криминальная хроника», 2003.06.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.24	газета
408	62	названием	удивительным	0	amod	В Нижнем Новгороде есть улица с удивительным названием...	Ночной ковбой с улицы Робеспьера // «Криминальная хроника», 2003.06.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.24	газета
409	62	улица	названием	0	nmod	В Нижнем Новгороде есть улица с удивительным названием...	Ночной ковбой с улицы Робеспьера // «Криминальная хроника», 2003.06.24		2003	нехудожественная | публицистика	заметка	криминал	«Криминальная хроника»	2003.06.24	газета
410	63	прогнозу	по	0	case	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
412	63	прогнозу	аналитиков	0	nmod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
413	63	аналитиков	pyramid	0	nmod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
415	63	достигнет	количество	1	nsubj	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
416	63	количество	пользователей	0	nmod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
417	63	пользователей	услуг	0	nmod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
418	63	связи	мобильной	2	amod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
419	63	услуг	связи	0	nmod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
420	63	мире	во	0	case	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
421	63	мире	всём	0	amod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
422	63	достигнет	мире	0	obl	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
423	63	концу	к	2	case	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
424	63	достигнет	концу	0	obl	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
425	63	концу	года	0	nmod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
426	63	млрд	1	0	nummod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
427	63	млрд	6	0	nummod	По прогнозу аналитиков Pyramid Research,  количество пользователей услуг мобильной связи во всём мире к концу года достигнет 1,  6 млрд.,  в том числе 750 млн.-- в Азиатско-Тихоокеанском регионе.	Аналитический дайджест // «Computerworld», 2004		2004	нехудожественная | публицистика	статья	бизнес, коммерция, экономика, финансы	«Computerworld»	2004	журнал
